epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,0.5,,0.690546749276109,,
0,19,,0.5625,,0.6953345766232815,,
0,29,,0.5625,,0.6962889761780389,,
0,39,,0.5,,0.6964322955609532,,
0,49,,0.40625,,0.6931660885675228,,
0,59,,0.5625,,0.6942556283247541,,
0,69,,0.5,,0.6987343165674247,,
0,79,,0.5,,0.6943480033369269,,
0,89,,0.5625,,0.6906976618447516,,
0,99,,0.53125,,0.6936929709627293,,
0,109,,0.3125,,0.69349330634941,,
0,119,,0.59375,,0.6926467976409185,,
0,129,,0.5,,0.6946357985980285,,
0,139,,0.65625,,0.6916407431399421,,
0,149,,0.375,,0.6946810213339631,,
0,159,,0.4375,,0.6928256517730915,,
0,169,,0.4375,,0.6936942861417492,,
0,179,,0.59375,,0.6931276152440091,,
0,189,,0.4375,,0.6925570972834976,,
0,199,,0.65625,,0.6928556197688067,,
0,209,,0.75,,0.6937231750835053,,
0,219,,0.4375,,0.6932687601488396,,
0,229,,0.65625,,0.6932892432516837,,
0,239,,0.46875,,0.6929971416502667,,
0,249,,0.34375,,0.6932744344003368,,
0,259,,0.40625,,0.6929775310040895,,
0,269,,0.4375,,0.6930446777273573,,
0,279,,0.5,,0.6931398528643342,,
0,289,,0.4375,,0.6931937057625532,,
0,299,,0.65625,,0.6930933085404831,,
0,309,,0.4375,,0.6931589013187249,,
0,319,,0.53125,,0.6932313773987744,,
0,329,,0.53125,,0.6932662467720547,,
0,339,,0.4375,,0.6932291202767829,,
0,349,,0.59375,,0.6931215178234567,,
0,359,,0.4375,,0.6932142257070772,,
0,369,,0.5,,0.6931306304281861,,
0,379,,0.5,,0.6931278976696191,,
0,389,,0.53125,,0.6931112989293808,,
0,399,,0.5625,,0.6931575273184478,,
0,409,,0.4375,,0.6931842972680187,,
0,419,,0.59375,,0.6931381072000136,,
0,429,,0.53125,,0.6931221880670648,,
0,439,,0.46875,,0.6931659520698759,,
0,449,,0.5,,0.6931406642111595,,
0,459,,0.65625,,0.6931392983028299,,
0,469,,0.59375,,0.6931469331016729,,
0,479,,0.40625,,0.693163737902271,,
0,489,,0.53125,,0.6931377775974465,,
0,499,,0.34375,,0.6931323108232306,,
0,509,,0.53125,,0.6931534357232456,,
0,519,,0.53125,,0.693140545472338,,
0,529,,0.46875,,0.6931708827296479,,
0,539,,0.40625,,0.6931367571727762,,
0,549,,0.5625,,0.6931441146833972,,
0,559,,0.4375,,0.6931505413507875,,
0,569,,0.4375,,0.6931520366197232,,
0,579,,0.65625,,0.6931514578497746,,
0,589,,0.625,,0.6931458440739433,,
0,599,,0.53125,,0.6931456526566047,,
0,609,,0.5,,0.6931495827492504,,
0,619,,0.5,,0.6931462838402833,,
0,629,,0.5,,0.6931460313814909,,
0,639,,0.46875,,0.6931454456949168,,
0,649,,0.4375,,0.6931471019914106,,
0,659,,0.5,,0.6931533546888918,,
0,669,,0.53125,,0.6931502339328894,,
0,679,,0.375,,0.6931455929060331,,
0,689,,0.5,,0.6931493406306273,,
0,699,,0.40625,,0.6931474794077226,,
0,709,,0.34375,,0.6931471486100907,,
0,719,,0.59375,,0.69314558490009,,
0,729,,0.625,,0.6931474320106223,,
0,739,,0.375,,0.6931468757195978,,
0,749,,0.5,,0.6931468320247427,,
0,759,,0.59375,,0.693146663753931,,
0,769,,0.5,,0.693148168345599,,
0,779,,0.46875,,0.6931475180973534,,
0,789,,0.5625,,0.6931474106858269,,
0,799,,0.53125,,0.6931465140388012,,
0,809,,0.53125,,0.6931473610772432,,
0,819,,0.5,,0.6931472862742906,,
0,829,,0.46875,,0.693146760004153,,
0,839,,0.53125,,0.6931472516769831,,
0,849,,0.53125,,0.6931473264365086,,
0,859,,0.4375,,0.6931478982921675,,
0,869,,0.4375,,0.6931473671409261,,
0,879,,0.625,,0.6931468630167059,,
0,889,,0.375,,0.6931468686229867,,
0,899,,0.5625,,0.6931475145389207,,
0,909,,0.5,,0.6931471693205421,,
0,919,,0.53125,,0.6931468424029064,,
0,929,,0.53125,,0.6931474074815759,,
0,939,,0.53125,,0.6931468683231145,,
0,949,,0.59375,,0.6931472608162067,,
0,959,,0.53125,,0.6931471532317279,,
0,969,,0.53125,,0.6931468559772461,,
0,979,,0.4375,,0.6931471089081285,,
0,989,,0.5625,,0.6931470818747625,,
0,999,,0.5,,0.6931473089528879,,
0,1009,,0.4375,,0.693147240707986,,
0,1019,,0.59375,,0.6931471818027852,,
0,1029,,0.59375,,0.6931472482916583,,
0,1039,,0.53125,,0.6931471291436468,,
0,1049,,0.5625,,0.6931471583901063,,
0,1059,,0.40625,,0.6931472060473032,,
0,1069,,0.5,,0.693147177418581,,
0,1079,,0.53125,,0.6931471872548238,,
0,1089,,0.625,,0.6931472115720615,,
0,1099,,0.6875,,0.6931471860150402,,
0,1109,,0.46875,,0.6931471871523072,,
0,1119,,0.53125,,0.6931471891132168,,
0,1129,,0.625,,0.6931471832015633,,
0,1139,,0.375,,0.693147142129173,,
0,1149,,0.375,,0.6931471944771672,,
0,1159,,0.4375,,0.6931471805276281,,
0,1169,,0.625,,0.6931471716762665,,
0,1179,,0.4375,,0.6931471752844951,,
0,1189,,0.5,,0.6931471729144416,,
0,1199,,0.53125,,0.6931471692655804,,
0,1209,,0.4375,,0.6931471825357955,,
0,1219,,0.53125,,0.6931471766662332,,
0,1229,,0.5,,0.693147182229699,,
0,1239,,0.46875,,0.6931471815472872,,
0,1249,,0.5,,0.693147183492961,,
0,1259,,0.5625,,0.6931471781455377,,
0,1269,,0.46875,,0.693147178257805,,
0,1279,,0.40625,,0.6931471807831033,,
0,1289,,0.375,,0.6931471807077405,,
0,1299,,0.53125,,0.6931471782067162,,
0,1309,,0.59375,,0.6931471835520072,,
0,1319,,0.40625,,0.693147182549888,,
0,1329,,0.375,,0.6931471832528514,,
0,1339,,0.46875,,0.6931471796525919,,
0,1349,,0.5625,,0.6931471808242831,,
0,1359,,0.625,,0.6931471823723031,,
0,1369,,0.59375,,0.6931471784352465,,
0,1379,,0.5625,,0.6931471807872547,,
0,1389,,0.40625,,0.6931471790416668,,
0,1399,,0.4375,,0.6931471826055958,,
0,1409,,0.3125,,0.6931471820085018,,
0,1419,,0.5625,,0.6931471817291243,,
0,1429,,0.40625,,0.6931471825522209,,
0,1439,,0.5,,0.6931471835005718,,
0,1449,,0.53125,,0.6931471833344571,,
0,1459,,0.5625,,0.6931471821671542,,
0,1469,,0.53125,,0.6931471818683795,,
0,1479,,0.5,,0.693147182258008,,
0,1489,,0.53125,,0.6931471824334745,,
0,1499,,0.53125,,0.6931471827208802,,
0,1509,,0.4375,,0.6931471824753878,,
0,1519,,0.5625,,0.6931471823024252,,
