entity,epoch,relation,step,train_acc_step,train_loss_step,user
0.0009029596694745123,0,4.496429482969688e-06,49,0.59375,0.6930831152785686,0.002405919600278139
7.951690349727869e-06,0,6.700637267265108e-10,99,0.46875,0.6931458973807931,0.0001703844463918358
3.051378030249907e-07,0,1.4433072792474633e-12,149,0.5,0.6931476655292209,4.099050420336425e-05
2.661457276786905e-09,0,1.3825311469754093e-17,199,0.40625,0.6931471785362764,5.083921678306069e-06
2.40163219172862e-11,0,8.083994121215258e-21,249,0.53125,0.6931471830327162,1.9882895685441326e-06
2.4939688443754993e-13,0,0.0,299,0.4375,0.6931471824622703,1.4026606720562995e-07
