epoch,step,train_acc_step,train_loss_step
0,9,0.4375,0.6838871203945018
0,19,0.53125,0.6901375449087936
0,29,0.5625,0.6941134653243353
0,39,0.53125,0.6972011452271545
0,49,0.53125,0.6933125043578912
0,59,0.40625,0.6937844978820067
0,69,0.625,0.6959155839431332
0,79,0.5625,0.6938471239445789
0,89,0.53125,0.6930911373347044
0,99,0.53125,0.6922895761072141
0,109,0.40625,0.6940195665210922
0,119,0.53125,0.6947575279846205
0,129,0.46875,0.6945278572748066
0,139,0.5,0.6929906016048335
0,149,0.625,0.6931083438730639
0,159,0.5,0.6929238941347649
0,169,0.53125,0.693020781669702
0,179,0.625,0.6930036256731
0,189,0.5,0.6925981802307888
0,199,0.5625,0.6931018860886979
0,209,0.6875,0.6927936143083571
0,219,0.5,0.6932719337910385
0,229,0.5,0.6931500808266264
0,239,0.4375,0.6933177645332762
0,249,0.46875,0.6931470667869775
0,259,0.4375,0.6928905698585766
0,269,0.59375,0.6933553356748234
0,279,0.46875,0.6931624131782428
0,289,0.46875,0.6931326723638165
0,299,0.34375,0.6931251015560065
0,309,0.53125,0.6932016467759468
0,319,0.5625,0.6931448592757761
0,329,0.375,0.693128446798795
0,339,0.65625,0.6932177379285349
0,349,0.4375,0.6931475977941659
0,359,0.4375,0.6931401654769616
0,369,0.53125,0.6931087661419184
0,379,0.5625,0.693137435662079
0,389,0.5,0.6931784234252376
0,399,0.46875,0.6931331761519459
0,409,0.46875,0.6931513775134519
0,419,0.3125,0.6931376674532856
0,429,0.3125,0.6931383877956847
0,439,0.6875,0.6931673019558389
0,449,0.5,0.6931486318353279
0,459,0.46875,0.6931413404033226
0,469,0.5,0.6931519666902268
0,479,0.5,0.6931488523574956
0,489,0.5625,0.6931398323070574
0,499,0.59375,0.6931469443530869
0,509,0.4375,0.6931512470562476
0,519,0.53125,0.6931448426826483
0,529,0.53125,0.6931470617791047
0,539,0.46875,0.6931575874970842
0,549,0.5625,0.6931437306521172
0,559,0.40625,0.6931428809496198
0,569,0.53125,0.6931491238617262
0,579,0.375,0.6931506537128469
0,589,0.53125,0.6931463241681866
0,599,0.5,0.6931498803389955
0,609,0.5625,0.6931501580135193
0,619,0.4375,0.6931505086849515
0,629,0.5,0.6931478452483268
0,639,0.59375,0.6931402056541807
0,649,0.625,0.6931494099240705
0,659,0.46875,0.6931472936078139
0,669,0.65625,0.6931447887208796
0,679,0.40625,0.6931473488040991
0,689,0.53125,0.6931479046807438
0,699,0.5,0.6931467477373462
0,709,0.5,0.6931486511844963
0,719,0.46875,0.6931476095972525
0,729,0.5625,0.6931488750635614
0,739,0.3125,0.6931476614865899
0,749,0.40625,0.6931482061381787
0,759,0.46875,0.6931485723719947
0,769,0.4375,0.6931471678946515
0,779,0.4375,0.693145431780548
0,789,0.46875,0.6931474246736453
0,799,0.375,0.6931474469974046
0,809,0.46875,0.693147549067866
0,819,0.59375,0.6931470456309485
0,829,0.5625,0.6931474008775824
0,839,0.53125,0.6931472454320393
0,849,0.4375,0.6931473414813621
0,859,0.53125,0.6931471085914569
0,869,0.40625,0.6931469930448166
0,879,0.375,0.6931472307442037
0,889,0.53125,0.6931474625679604
0,899,0.4375,0.6931470857800016
0,909,0.625,0.6931471697133704
0,919,0.5,0.6931471450741503
0,929,0.53125,0.693147072323022
0,939,0.59375,0.6931470764762292
0,949,0.5,0.693147241122636
0,959,0.53125,0.6931471817915812
0,969,0.53125,0.6931471350027634
0,979,0.375,0.6931472358284125
0,989,0.3125,0.6931471937635078
0,999,0.46875,0.6931471301957077
0,1009,0.53125,0.6931472363756488
0,1019,0.59375,0.6931471819105224
0,1029,0.46875,0.6931471156949174
0,1039,0.5,0.6931472332144116
0,1049,0.59375,0.6931471771877037
