epoch,step,train_loss,val_loss
0,9,12.445293426513672,
0,19,10.16759967803955,
0,29,4.428092002868652,
0,39,1.8302937746047974,
0,49,1.315399408340454,
0,59,1.508365273475647,
0,69,1.3643295764923096,
0,79,1.0554795265197754,
0,89,1.3174378871917725,
0,99,1.330141305923462,
0,109,1.1787782907485962,
0,119,1.1913113594055176,
0,129,1.1415194272994995,
0,139,1.130987286567688,
0,149,1.17788827419281,
0,159,1.1327052116394043,
0,169,0.9565096497535706,
0,179,1.0361522436141968,
0,189,1.2744325399398804,
0,199,1.090471625328064,
0,209,1.0551177263259888,
0,219,1.0275945663452148,
0,229,0.9664764404296875,
0,239,1.077649712562561,
0,249,1.0121641159057617,
0,259,1.0123279094696045,
0,269,1.0292221307754517,
0,279,0.9155758023262024,
0,289,0.9842125177383423,
0,299,0.9560973644256592,
0,309,1.1385087966918945,
0,319,0.7360983490943909,
0,329,1.0342128276824951,
0,339,1.1213669776916504,
0,349,1.2621972560882568,
0,351,,0.9786087870597839
1,359,0.9325869083404541,
1,369,1.0326670408248901,
1,379,0.8802726864814758,
1,389,1.0564210414886475,
1,399,1.0576376914978027,
1,409,1.0990362167358398,
1,419,1.048465609550476,
1,429,0.9298388957977295,
1,439,1.0880389213562012,
1,449,1.0259591341018677,
1,459,1.132419466972351,
1,469,0.9896742701530457,
1,479,0.9196429252624512,
1,489,0.9573164582252502,
1,499,0.9605635404586792,
1,509,1.009683609008789,
1,519,1.164759635925293,
1,529,0.9501950740814209,
1,539,1.048447608947754,
1,549,0.9973287582397461,
1,559,0.9260045289993286,
1,569,0.8900887966156006,
1,579,0.8999966979026794,
1,589,1.0717692375183105,
1,599,0.9905219078063965,
1,609,1.0862295627593994,
1,619,0.8931307792663574,
1,629,0.8858429789543152,
1,639,0.9977024793624878,
1,649,1.0826293230056763,
1,659,0.8582103252410889,
1,669,1.112904667854309,
1,679,0.8582152724266052,
1,689,1.155219316482544,
1,699,1.149322271347046,
1,703,,0.9628750681877136
2,709,0.8611985445022583,
2,719,1.0516386032104492,
2,729,1.1358048915863037,
2,739,0.8746084570884705,
2,749,0.9888355135917664,
2,759,1.071114420890808,
2,769,1.0143100023269653,
2,779,1.1548569202423096,
2,789,0.9903249740600586,
2,799,0.9168450832366943,
2,809,0.9411907196044922,
2,819,0.9528798460960388,
2,829,0.9110393524169922,
2,839,0.8285765647888184,
2,849,0.9554224610328674,
2,859,0.9024694561958313,
2,869,1.059240698814392,
2,879,0.9884397387504578,
2,889,0.9408696889877319,
2,899,0.8675812482833862,
2,909,1.024928331375122,
2,919,0.9709224700927734,
2,929,1.0701289176940918,
2,939,0.8630769848823547,
2,949,1.025852084159851,
2,959,1.0232949256896973,
2,969,0.9415236115455627,
2,979,1.1044561862945557,
2,989,0.9369021654129028,
2,999,1.068986415863037,
2,1009,1.0160291194915771,
2,1019,0.9668557047843933,
2,1029,0.923006534576416,
2,1039,0.984977662563324,
2,1049,0.9691244959831238,
2,1055,,0.9603323340415955
3,1059,0.828429639339447,
3,1069,0.8068506121635437,
3,1079,0.936931848526001,
3,1089,0.9649592638015747,
3,1099,1.136915683746338,
3,1109,1.0187891721725464,
3,1119,0.8896678686141968,
3,1129,0.9005765318870544,
3,1139,0.9339655041694641,
3,1149,1.0538530349731445,
3,1159,0.9874539375305176,
3,1169,0.965537428855896,
3,1179,0.9185774326324463,
3,1189,0.9938154220581055,
3,1199,1.0246883630752563,
3,1209,0.9786602258682251,
3,1219,1.0031250715255737,
3,1229,1.0399311780929565,
3,1239,0.9171851873397827,
3,1249,0.9107227325439453,
3,1259,0.9150371551513672,
3,1269,0.9989012479782104,
3,1279,0.997004508972168,
3,1289,0.9039405584335327,
3,1299,1.0131582021713257,
3,1309,1.1364001035690308,
3,1319,0.977403998374939,
3,1329,1.0008118152618408,
3,1339,1.1457122564315796,
3,1349,1.0740740299224854,
3,1359,0.9109347462654114,
3,1369,0.9843018054962158,
3,1379,0.865346372127533,
3,1389,1.0612190961837769,
3,1399,1.1634260416030884,
3,1407,,0.9564908146858215
4,1409,0.8199848532676697,
4,1419,0.8666626214981079,
4,1429,0.839067280292511,
4,1439,0.9653753638267517,
4,1449,0.9841938018798828,
4,1459,0.8172092437744141,
4,1469,1.124416708946228,
4,1479,1.1532262563705444,
4,1489,0.8852477669715881,
4,1499,0.8610219955444336,
4,1509,0.8660966753959656,
4,1519,0.9796279072761536,
4,1529,0.9661580920219421,
4,1539,0.9541845321655273,
4,1549,0.8065301179885864,
4,1559,0.8988772034645081,
4,1569,1.018735647201538,
4,1579,1.0297950506210327,
4,1589,1.0487585067749023,
4,1599,0.8659505248069763,
4,1609,1.204183578491211,
4,1619,0.8411157131195068,
4,1629,0.8490384221076965,
4,1639,1.0415189266204834,
4,1649,0.9819025993347168,
4,1659,0.900804877281189,
4,1669,0.909771740436554,
4,1679,1.0367320775985718,
4,1689,1.0434722900390625,
4,1699,0.8469138741493225,
4,1709,0.8897039294242859,
4,1719,0.8575315475463867,
4,1729,0.7623258233070374,
4,1739,0.9030422568321228,
4,1749,1.0182520151138306,
4,1759,1.1400097608566284,
4,1759,,0.9600980281829834
5,1769,0.8790083527565002,
5,1779,0.8630514144897461,
5,1789,0.8337644934654236,
5,1799,1.0007959604263306,
5,1809,0.890541136264801,
5,1819,1.0408800840377808,
5,1829,0.82555091381073,
5,1839,0.9877738952636719,
5,1849,0.9122515320777893,
5,1859,1.0237512588500977,
5,1869,1.066055178642273,
5,1879,1.0220881700515747,
5,1889,0.8850762248039246,
5,1899,0.916647732257843,
5,1909,0.8381344079971313,
5,1919,0.9779589772224426,
5,1929,1.0569806098937988,
5,1939,0.9281660318374634,
5,1949,1.0202875137329102,
5,1959,0.8606739640235901,
5,1969,1.0269356966018677,
5,1979,0.8227035999298096,
5,1989,0.9694663882255554,
5,1999,1.0198651552200317,
5,2009,0.7220348715782166,
5,2019,0.848325788974762,
5,2029,0.9677073955535889,
5,2039,0.9072667360305786,
5,2049,0.9053611755371094,
5,2059,0.9819222688674927,
5,2069,0.7981176376342773,
5,2079,0.8787714838981628,
5,2089,0.9115570187568665,
5,2099,0.9159563183784485,
5,2109,0.8517879843711853,
5,2111,,0.9435837864875793
6,2119,0.807017982006073,
6,2129,0.9260947704315186,
6,2139,1.0121549367904663,
6,2149,0.8332353234291077,
6,2159,0.9929070472717285,
6,2169,0.825462281703949,
6,2179,0.9505014419555664,
6,2189,0.9371675252914429,
6,2199,0.7535250186920166,
6,2209,0.8794082999229431,
6,2219,0.9210287928581238,
6,2229,0.8468616008758545,
6,2239,0.834258496761322,
6,2249,0.9496908187866211,
6,2259,0.8698152303695679,
6,2269,1.061242699623108,
6,2279,0.8755427598953247,
6,2289,0.9378620982170105,
6,2299,0.8299760818481445,
6,2309,1.0065369606018066,
6,2319,0.8968718647956848,
6,2329,0.9262433648109436,
6,2339,0.883959174156189,
6,2349,1.0388555526733398,
6,2359,1.0248236656188965,
6,2369,0.8493391871452332,
6,2379,0.9618914127349854,
6,2389,0.8159704804420471,
6,2399,0.8102622628211975,
6,2409,0.9109230637550354,
6,2419,0.8861895203590393,
6,2429,1.0247771739959717,
6,2439,0.9865590333938599,
6,2449,0.933544933795929,
6,2459,0.9612991213798523,
6,2463,,0.9457428455352783
7,2469,0.8283615112304688,
7,2479,0.8459057807922363,
7,2489,0.8531137108802795,
7,2499,0.9637506008148193,
7,2509,0.7958831787109375,
7,2519,0.8031581044197083,
7,2529,0.9165262579917908,
7,2539,0.825007975101471,
7,2549,0.9178789854049683,
7,2559,0.8583558797836304,
7,2569,0.8567546606063843,
7,2579,0.8176882266998291,
7,2589,0.736711323261261,
7,2599,0.9186130166053772,
7,2609,0.784722626209259,
7,2619,0.8890140056610107,
7,2629,0.9802865386009216,
7,2639,0.8369523882865906,
7,2649,0.963988721370697,
7,2659,0.8287222385406494,
7,2669,0.7725220322608948,
7,2679,0.8168721199035645,
7,2689,0.789736270904541,
7,2699,1.0636053085327148,
7,2709,0.9240970015525818,
7,2719,1.0113029479980469,
7,2729,0.9523813724517822,
7,2739,0.8096383810043335,
7,2749,0.9407218098640442,
7,2759,0.8539018034934998,
7,2769,0.7287763357162476,
7,2779,0.9641668200492859,
7,2789,0.9139227867126465,
7,2799,0.9195789098739624,
7,2809,0.8856948018074036,
7,2815,,0.9507426619529724
8,2819,0.7669186592102051,
8,2829,0.8386489152908325,
8,2839,0.9436293840408325,
8,2849,0.8580847382545471,
8,2859,0.8972817659378052,
8,2869,0.7581097483634949,
8,2879,0.7757937908172607,
8,2889,0.8206955194473267,
8,2899,0.8913438320159912,
8,2909,0.6680381894111633,
8,2919,0.729043185710907,
8,2929,0.9040470719337463,
8,2939,0.8907514810562134,
8,2949,0.8335864543914795,
8,2959,1.0239826440811157,
8,2969,0.8830184936523438,
8,2979,1.0630552768707275,
8,2989,0.8710972666740417,
8,2999,0.8267979621887207,
8,3009,0.8220721483230591,
8,3019,0.8338186144828796,
8,3029,0.8577889800071716,
8,3039,1.0982186794281006,
8,3049,0.8531992435455322,
8,3059,0.9407960772514343,
8,3069,0.9112340807914734,
8,3079,0.7329748868942261,
8,3089,0.8240965008735657,
8,3099,0.9969843626022339,
8,3109,0.8450177311897278,
8,3119,0.9612206816673279,
8,3129,0.7420762181282043,
8,3139,0.6904601454734802,
8,3149,0.8702448010444641,
8,3159,0.7803929448127747,
8,3167,,0.9426921606063843
9,3169,0.8389073610305786,
9,3179,0.7036731243133545,
9,3189,0.7761475443840027,
9,3199,0.7604293823242188,
9,3209,0.8609539270401001,
9,3219,0.7969675660133362,
9,3229,0.7413135170936584,
9,3239,0.8581976890563965,
9,3249,0.7979258298873901,
9,3259,0.8042418956756592,
9,3269,0.8932854533195496,
9,3279,0.7862391471862793,
9,3289,0.7067293524742126,
9,3299,0.6752484440803528,
9,3309,0.8044214248657227,
9,3319,0.9664789438247681,
9,3329,0.8435730934143066,
9,3339,0.8026974201202393,
9,3349,0.79322350025177,
9,3359,0.8375930786132812,
9,3369,0.7840981483459473,
9,3379,0.7031204700469971,
9,3389,0.7061110734939575,
9,3399,0.8116694092750549,
9,3409,0.7705746293067932,
9,3419,0.9036220908164978,
9,3429,0.864693820476532,
9,3439,0.8659567832946777,
9,3449,0.9847444891929626,
9,3459,0.7853295803070068,
9,3469,0.9006253480911255,
9,3479,0.7994512319564819,
9,3489,0.8329571485519409,
9,3499,0.7294784784317017,
9,3509,0.7374602556228638,
9,3519,0.7175499200820923,
9,3519,,0.942481279373169
10,3529,0.7581892609596252,
10,3539,0.7010980248451233,
10,3549,0.7004004120826721,
10,3559,0.8208400011062622,
10,3569,0.7890576720237732,
10,3579,0.7912431359291077,
10,3589,0.7693619728088379,
10,3599,0.9696574211120605,
10,3609,0.8247048854827881,
10,3619,0.9447916746139526,
10,3629,0.8490212559700012,
10,3639,0.691917896270752,
10,3649,0.8552250266075134,
10,3659,0.7543520331382751,
10,3669,0.900442898273468,
10,3679,1.0779236555099487,
10,3689,0.8369604349136353,
10,3699,0.7397021651268005,
10,3709,0.8204149603843689,
10,3719,0.8636702299118042,
10,3729,0.7933485507965088,
10,3739,0.927011251449585,
10,3749,0.7290086150169373,
10,3759,0.7947915196418762,
10,3769,0.766338050365448,
10,3779,0.7702012658119202,
10,3789,0.7886661291122437,
10,3799,0.9650473594665527,
10,3809,0.8903065919876099,
10,3819,0.7672152519226074,
10,3829,0.8351179957389832,
10,3839,0.7754440903663635,
10,3849,0.7280756235122681,
10,3859,0.7443550825119019,
10,3869,0.8498463034629822,
10,3871,,0.9462265372276306
11,3879,0.7828247547149658,
11,3889,0.7781434059143066,
11,3899,0.8016922473907471,
11,3909,0.7446423768997192,
11,3919,0.7465186715126038,
11,3929,0.7529030442237854,
11,3939,0.7865258455276489,
11,3949,0.8358824253082275,
11,3959,0.6429347395896912,
11,3969,0.7027789950370789,
11,3979,0.8276689052581787,
11,3989,0.8794306516647339,
11,3999,0.8027883768081665,
11,4009,0.6471462845802307,
11,4019,0.7359362244606018,
11,4029,0.6704848408699036,
11,4039,0.7659979462623596,
11,4049,0.8514146208763123,
11,4059,0.7939091920852661,
11,4069,0.6883061528205872,
11,4079,0.7227782607078552,
11,4089,0.8239591717720032,
11,4099,0.6927852630615234,
11,4109,0.7112300395965576,
11,4119,0.7026186585426331,
11,4129,0.7264782786369324,
11,4139,0.9128615856170654,
11,4149,0.7795121669769287,
11,4159,0.8185219168663025,
11,4169,0.7936999201774597,
11,4179,0.7657020688056946,
11,4189,0.9062958359718323,
11,4199,0.8037242889404297,
